"id","has_settlement","allegation_count","complaint_category"
"8810","0","2","Operation/Personnel Violations"
"8945","0","10","Illegal Search"
"9589","0","2","Operation/Personnel Violations"
"11214","0","15","Operation/Personnel Violations"
"11470","0","3","Criminal Misconduct"
"11598","0","1","Lockup Procedures"
"11858","0","1","Use Of Force"
"12015","0","18","Illegal Search"
"12192","0","5","Operation/Personnel Violations"
"12455","0","14","Operation/Personnel Violations"
"12788","0","36","Use Of Force"
"13037","0","1","Operation/Personnel Violations"
"13556","0","24","Operation/Personnel Violations"
"13885","0","3","Operation/Personnel Violations"
"14001","0","2","Illegal Search"
"14015","0","3","Use Of Force"
"14154","0","20","Operation/Personnel Violations"
"14577","0","18","Illegal Search"
"14969","1","34","Use Of Force"
"15125","0","4","Operation/Personnel Violations"
"15153","0","21","Use Of Force"
"15279","0","3","Operation/Personnel Violations"
"15666","0","11","Operation/Personnel Violations"
"15681","0","18","Use Of Force"
"15864","0","11","Operation/Personnel Violations"
"15928","0","8","Operation/Personnel Violations"
"15979","0","22","Use Of Force"
"16079","0","1","Domestic"
"16635","0","1","Drug / Alcohol Abuse"
"17311","0","1","Use Of Force"
"17699","0","17","Illegal Search"
"17830","1","41","Operation/Personnel Violations"
"18057","0","1","Use Of Force"
"18073","0","3","Operation/Personnel Violations"
"18219","0","1","Use Of Force"
"18425","0","36","Operation/Personnel Violations"
"18621","0","15","Use Of Force"
"19144","0","45","Operation/Personnel Violations"
"20144","0","10","Use Of Force"
"20468","0","2","Supervisory Responsibilities"
"21020","0","2","Operation/Personnel Violations"
"21320","1","47","Use Of Force"
"21470","0","3","Operation/Personnel Violations"
"21586","0","8","False Arrest"
"21687","0","5","Operation/Personnel Violations"
"21786","0","4","Domestic"
"21870","0","4","Operation/Personnel Violations"
"22754","0","3","Lockup Procedures"
"23263","0","18","Operation/Personnel Violations"
"23332","0","1","Lockup Procedures"
"23354","0","3","False Arrest"
"23394","0","1","False Arrest"
"23456","0","32","Operation/Personnel Violations"
"23661","0","39","Operation/Personnel Violations"
"23830","0","4","Use Of Force"
"24340","0","23","Operation/Personnel Violations"
"24551","0","3","Operation/Personnel Violations"
"24812","0","2","Illegal Search"
"24947","0","8","Operation/Personnel Violations"
"25066","0","6","Operation/Personnel Violations"
"25159","0","6","Conduct Unbecoming (Off-Duty)"
"25425","0","1","Use Of Force"
"26230","0","10","Operation/Personnel Violations"
"26711","0","27","Illegal Search"
"26726","0","1","Operation/Personnel Violations"
"26869","0","4","Illegal Search"
"27417","0","1","Lockup Procedures"
"27422","0","1","Traffic"
"27557","0","22","Use Of Force"
"28369","0","1","Use Of Force"
"28782","0","12","Lockup Procedures"
"28925","0","24","Operation/Personnel Violations"
"29059","0","6","Domestic"
"29370","0","1","Use Of Force"
"29707","0","16","Illegal Search"
"30290","0","24","Use Of Force"
"30345","0","4","Conduct Unbecoming (Off-Duty)"
"30643","0","10","Operation/Personnel Violations"
"30662","0","6","Illegal Search"
"30743","0","1","Operation/Personnel Violations"
"30816","0","8","Operation/Personnel Violations"
"31393","0","1","Operation/Personnel Violations"
"31423","0","23","Use Of Force"
"31678","0","5","Operation/Personnel Violations"
"31716","0","12","Operation/Personnel Violations"
"32337","0","20","Illegal Search"
"126","0","3","Operation/Personnel Violations"
"202","0","4","False Arrest"
"274","0","7","Operation/Personnel Violations"
"529","0","28","Operation/Personnel Violations"
"844","0","12","Use Of Force"
"889","0","35","Operation/Personnel Violations"
"1730","0","17","Operation/Personnel Violations"
"1768","0","1","Domestic"
"1988","0","26","Illegal Search"
"2314","0","11","Use Of Force"
"2370","0","7","Use Of Force"
"2497","0","2","Conduct Unbecoming (Off-Duty)"
"3284","0","15","Use Of Force"
"3939","0","2","Operation/Personnel Violations"
"4288","0","10","Operation/Personnel Violations"
"4406","0","1","Use Of Force"
"4835","0","8","Operation/Personnel Violations"
"5108","0","14","Use Of Force"
"5258","0","3","Illegal Search"
"5311","0","3","False Arrest"
"5545","0","11","Operation/Personnel Violations"
"5641","0","6","Operation/Personnel Violations"
"6486","0","4","Operation/Personnel Violations"
"6521","0","10","Operation/Personnel Violations"
"6715","0","2","Operation/Personnel Violations"
"6891","0","1","Supervisory Responsibilities"
"7047","0","13","Operation/Personnel Violations"
"7379","0","3","Operation/Personnel Violations"
"8425","0","21","Operation/Personnel Violations"
"8557","0","3","Domestic"
"8776","0","17","Use Of Force"
"9017","0","18","Operation/Personnel Violations"
"9177","0","7","Conduct Unbecoming (Off-Duty)"
"9229","0","2","Operation/Personnel Violations"
"9739","0","1","Conduct Unbecoming (Off-Duty)"
"10290","0","9","Use Of Force"
"10630","0","23","Use Of Force"
"10864","0","14","Use Of Force"
"11090","0","11","Operation/Personnel Violations"
"11157","0","16","Use Of Force"
"11409","0","7","False Arrest"
"11602","0","7","Lockup Procedures"
"11747","0","1","Operation/Personnel Violations"
"11818","0","7","Operation/Personnel Violations"
"12251","0","13","Operation/Personnel Violations"
"12365","0","4","Operation/Personnel Violations"
"12502","0","1","Operation/Personnel Violations"
"12868","0","36","Operation/Personnel Violations"
"13171","0","5","Illegal Search"
"13264","0","3","Supervisory Responsibilities"
"13268","0","27","Use Of Force"
"13606","0","19","Operation/Personnel Violations"
"14303","0","3","Operation/Personnel Violations"
"14425","0","35","Traffic"
"14547","0","2","False Arrest"
"14681","0","2","Operation/Personnel Violations"
"14868","0","16","Use Of Force"
"15344","0","63","Illegal Search"
"15604","0","8","Use Of Force"
"15725","0","1","Operation/Personnel Violations"
"15914","0","7","Use Of Force"
"16119","0","5","Use Of Force"
"16185","0","1","Supervisory Responsibilities"
"16316","0","1","Operation/Personnel Violations"
"16322","0","4","Operation/Personnel Violations"
"16464","0","7","Use Of Force"
"17629","0","1","Verbal Abuse"
"18208","0","14","Illegal Search"
"19438","1","5","Operation/Personnel Violations"
"19516","0","1","Criminal Misconduct"
"20372","0","1","Operation/Personnel Violations"
"20618","1","56","Operation/Personnel Violations"
"20739","0","6","Operation/Personnel Violations"
"21145","0","12","Operation/Personnel Violations"
"21272","0","4","Use Of Force"
"21468","1","125","Use Of Force"
"21951","0","4","Lockup Procedures"
"21956","0","9","Illegal Search"
"22166","0","3","Drug / Alcohol Abuse"
"23448","0","18","Lockup Procedures"
"24511","0","11","Operation/Personnel Violations"
"24810","0","27","Operation/Personnel Violations"
"26057","0","4","Operation/Personnel Violations"
"26082","0","6","Conduct Unbecoming (Off-Duty)"
"26569","1","21","Use Of Force"
"26613","0","14","Operation/Personnel Violations"
"26689","0","8","Operation/Personnel Violations"
"26817","0","7","Operation/Personnel Violations"
"26934","0","6","Illegal Search"
"27095","0","1","Supervisory Responsibilities"
"27561","0","1","Operation/Personnel Violations"
"27565","0","3","Operation/Personnel Violations"
"27772","0","26","Use Of Force"
"27780","0","3","Operation/Personnel Violations"
"27829","0","14","Use Of Force"
"28013","0","2","Use Of Force"
"28295","0","18","Operation/Personnel Violations"
"28714","0","3","Traffic"
"28847","0","21","Use Of Force"
"29031","0","14","Use Of Force"
"29082","0","11","Use Of Force"
"29437","0","3","Illegal Search"
"30580","0","11","Operation/Personnel Violations"
"30902","0","2","Criminal Misconduct"
"31170","0","6","Operation/Personnel Violations"
"31370","0","3","Operation/Personnel Violations"
"31484","0","7","Operation/Personnel Violations"
"31522","0","16","Operation/Personnel Violations"
"31948","0","44","Use Of Force"
"32181","1","22","Illegal Search"
"32235","0","15","Illegal Search"
"32280","0","32","Use Of Force"
"262","0","23","Use Of Force"
"325","0","7","Operation/Personnel Violations"
"406","0","12","Operation/Personnel Violations"
"624","0","15","Operation/Personnel Violations"
"1899","0","6","Operation/Personnel Violations"
"2227","0","8","Operation/Personnel Violations"
"3532","0","6","Operation/Personnel Violations"
"3689","0","4","Illegal Search"
"3752","0","6","Operation/Personnel Violations"
"3823","0","1","Operation/Personnel Violations"
"4354","0","7","Operation/Personnel Violations"
"4563","0","5","Operation/Personnel Violations"
"4625","0","1","Operation/Personnel Violations"
"4879","0","7","Operation/Personnel Violations"
"5038","0","13","Use Of Force"
"5230","0","3","Operation/Personnel Violations"
"5425","0","1","Drug / Alcohol Abuse"
"6022","0","5","Lockup Procedures"
"6563","0","54","Use Of Force"
"6728","0","22","Operation/Personnel Violations"
"6957","0","16","Operation/Personnel Violations"
"7425","0","7","Use Of Force"
"7798","0","10","Operation/Personnel Violations"
"7888","0","7","Operation/Personnel Violations"
"8015","0","1","Criminal Misconduct"
"8554","0","25","Operation/Personnel Violations"
"8814","0","1","Lockup Procedures"
"8876","0","9","Operation/Personnel Violations"
"9098","0","7","Criminal Misconduct"
"9557","0","9","Illegal Search"
"9577","0","48","Operation/Personnel Violations"
"9925","0","2","Operation/Personnel Violations"
"10314","0","7","Operation/Personnel Violations"
"11078","0","19","Illegal Search"
"11201","0","6","Bribery / Official Corruption"
"11627","0","1","Operation/Personnel Violations"
"12009","0","24","Operation/Personnel Violations"
"12128","0","3","Conduct Unbecoming (Off-Duty)"
"12203","0","11","Operation/Personnel Violations"
"12366","0","4","Operation/Personnel Violations"
"12723","0","11","Operation/Personnel Violations"
"13784","1","34","Use Of Force"
"13784","1","34","Use Of Force"
"13784","1","34","Use Of Force"
"13842","0","19","Operation/Personnel Violations"
"13901","1","12","Use Of Force"
"14000","0","14","Operation/Personnel Violations"
"14325","0","14","Operation/Personnel Violations"
"14558","0","2","Domestic"
"15833","0","2","Criminal Misconduct"
"16228","0","4","Operation/Personnel Violations"
"16465","0","7","Operation/Personnel Violations"
"16722","0","2","Domestic"
"17431","0","12","Operation/Personnel Violations"
"17620","0","12","Operation/Personnel Violations"
"17719","0","11","Operation/Personnel Violations"
"18125","0","1","Use Of Force"
"18499","0","10","Lockup Procedures"
"18689","0","2","False Arrest"
"18827","0","4","Lockup Procedures"
"18850","0","3","Operation/Personnel Violations"
"18861","0","3","Operation/Personnel Violations"
"19099","0","14","Operation/Personnel Violations"
"19453","0","8","Operation/Personnel Violations"
"20750","0","1","Lockup Procedures"
"20781","0","6","Operation/Personnel Violations"
"20991","0","1","False Arrest"
"21379","1","8","False Arrest"
"21379","1","8","False Arrest"
"21658","0","7","Use Of Force"
"21849","0","11","Conduct Unbecoming (Off-Duty)"
"22160","0","9","Operation/Personnel Violations"
"22619","0","5","Operation/Personnel Violations"
"22810","0","28","Use Of Force"
"22994","0","8","Operation/Personnel Violations"
"23460","0","12","Operation/Personnel Violations"
"23800","0","1","Operation/Personnel Violations"
"23960","0","10","Operation/Personnel Violations"
"24692","0","1","Verbal Abuse"
"24791","0","2","Conduct Unbecoming (Off-Duty)"
"25034","0","1","Traffic"
"25365","0","20","Illegal Search"
"25441","0","5","Operation/Personnel Violations"
"25992","0","1","Bribery / Official Corruption"
"25996","0","3","Use Of Force"
"26535","0","66","Illegal Search"
"26679","0","3","Operation/Personnel Violations"
"27108","0","22","Illegal Search"
"27138","0","8","Illegal Search"
"28661","0","2","Operation/Personnel Violations"
"29219","0","4","Operation/Personnel Violations"
"29335","0","5","Operation/Personnel Violations"
"29490","0","11","Illegal Search"
"29560","0","1","Verbal Abuse"
"29642","1","7","Operation/Personnel Violations"
"29826","0","1","Bribery / Official Corruption"
"29987","0","14","Operation/Personnel Violations"
"30024","0","4","Operation/Personnel Violations"
"30195","0","12","Operation/Personnel Violations"
"30552","0","2","Lockup Procedures"
"30557","0","9","Use Of Force"
"31277","0","2","Operation/Personnel Violations"
"31460","0","4","Illegal Search"
"31561","0","2","Operation/Personnel Violations"
"31938","1","12","Illegal Search"
"32389","0","9","Operation/Personnel Violations"
"691","0","3","Conduct Unbecoming (Off-Duty)"
"734","0","11","Illegal Search"
"1415","0","5","Operation/Personnel Violations"
"1766","0","1","Operation/Personnel Violations"
"1776","0","13","Illegal Search"
"1908","0","1","Operation/Personnel Violations"
"1986","0","14","Use Of Force"
"2316","0","8","Operation/Personnel Violations"
"2537","0","2","Illegal Search"
"2568","0","4","Operation/Personnel Violations"
"2998","0","8","Operation/Personnel Violations"
"3330","0","5","Criminal Misconduct"
"3396","0","4","Illegal Search"
"4463","0","13","Operation/Personnel Violations"
"5826","0","2","Conduct Unbecoming (Off-Duty)"
"6265","0","1","False Arrest"
"6712","0","8","Use Of Force"
"6730","0","8","Operation/Personnel Violations"
"7376","0","2","Lockup Procedures"
"7493","0","7","Operation/Personnel Violations"
"7586","0","18","Operation/Personnel Violations"
"7862","0","24","Operation/Personnel Violations"
"8442","1","6","Illegal Search"
"9226","0","7","Operation/Personnel Violations"
"9374","0","2","Conduct Unbecoming (Off-Duty)"
"10072","0","27","Operation/Personnel Violations"
"10332","0","21","Use Of Force"
"10449","0","36","Use Of Force"
"10534","0","14","Operation/Personnel Violations"
"10603","0","7","Operation/Personnel Violations"
"10674","0","1","Operation/Personnel Violations"
"11025","0","1","Operation/Personnel Violations"
"11207","0","9","Operation/Personnel Violations"
"11304","0","7","Use Of Force"
"11672","0","15","Use Of Force"
"11812","0","3","Conduct Unbecoming (Off-Duty)"
"12200","0","6","Operation/Personnel Violations"
"12613","0","3","Operation/Personnel Violations"
"12786","0","1","Operation/Personnel Violations"
"14318","0","8","Conduct Unbecoming (Off-Duty)"
"14519","0","6","Operation/Personnel Violations"
"15083","0","17","Operation/Personnel Violations"
"15572","0","7","Operation/Personnel Violations"
"15776","0","15","Illegal Search"
"15994","0","5","Use Of Force"
"16480","0","6","Use Of Force"
"16521","0","11","Operation/Personnel Violations"
"16615","0","6","Operation/Personnel Violations"
"16790","1","8","Use Of Force"
"17124","0","1","Operation/Personnel Violations"
"17859","0","4","Supervisory Responsibilities"
"17950","0","2","Lockup Procedures"
"18102","0","20","Operation/Personnel Violations"
"18396","1","9","Operation/Personnel Violations"
"18548","0","4","Operation/Personnel Violations"
"18585","0","27","Illegal Search"
"18611","0","15","Use Of Force"
"18732","0","4","Use Of Force"
"18801","0","14","Operation/Personnel Violations"
"19236","0","2","Lockup Procedures"
"19265","0","2","Operation/Personnel Violations"
"19602","1","31","Use Of Force"
"20065","0","12","Use Of Force"
"20486","0","8","Operation/Personnel Violations"
"20499","0","7","False Arrest"
"20538","0","5","Lockup Procedures"
"20636","0","5","Verbal Abuse"
"21528","0","3","Domestic"
"21548","0","21","Use Of Force"
"22257","0","8","Operation/Personnel Violations"
"22545","0","7","Operation/Personnel Violations"
"22628","0","6","Operation/Personnel Violations"
"22710","0","1","Operation/Personnel Violations"
"22890","0","8","Conduct Unbecoming (Off-Duty)"
"24144","0","1","False Arrest"
"24612","0","30","Use Of Force"
"25325","0","7","Operation/Personnel Violations"
"25541","0","8","Operation/Personnel Violations"
"25676","0","3","Use Of Force"
"25699","0","30","Illegal Search"
"25945","0","4","Operation/Personnel Violations"
"26925","0","53","Use Of Force"
"27077","0","20","Operation/Personnel Violations"
"27102","0","33","Illegal Search"
"27213","0","5","Illegal Search"
"27377","0","7","Operation/Personnel Violations"
"27668","0","21","Use Of Force"
"28032","0","1","Operation/Personnel Violations"
"28152","0","16","Operation/Personnel Violations"
"28262","0","8","Drug / Alcohol Abuse"
"28305","0","1","Use Of Force"
"28320","0","9","Illegal Search"
"28356","0","7","Operation/Personnel Violations"
"28370","0","5","Use Of Force"
"28532","0","10","Operation/Personnel Violations"
"29036","0","3","Criminal Misconduct"
"29330","0","2","Illegal Search"
"29454","0","16","Illegal Search"
"29768","0","11","Use Of Force"
"30250","0","1","Use Of Force"
"30364","0","16","Operation/Personnel Violations"
"30505","0","11","Operation/Personnel Violations"
"30565","0","18","Illegal Search"
"30677","1","44","Use Of Force"
"31058","0","9","Operation/Personnel Violations"
"31294","0","4","Operation/Personnel Violations"
"31366","0","14","Use Of Force"
"31558","0","15","Operation/Personnel Violations"
"31787","0","7","Operation/Personnel Violations"
"32065","0","10","Operation/Personnel Violations"
"32075","0","8","Illegal Search"
"32279","0","21","Use Of Force"
"32308","0","2","Operation/Personnel Violations"
"32428","0","16","False Arrest"
"50","0","2","Operation/Personnel Violations"
"94","0","15","Illegal Search"
"149","0","7","Operation/Personnel Violations"
"421","1","3","Illegal Search"
"1895","0","9","Illegal Search"
"2071","0","4","False Arrest"
"2162","0","12","Operation/Personnel Violations"
"3339","0","1","Traffic"
"3878","0","6","Operation/Personnel Violations"
"4278","0","14","Operation/Personnel Violations"
"4859","0","2","Operation/Personnel Violations"
"4932","0","2","Operation/Personnel Violations"
"5444","0","89","Use Of Force"
"5949","0","2","Lockup Procedures"
"6231","0","10","Operation/Personnel Violations"
"6298","0","1","Use Of Force"
"6763","0","12","Use Of Force"
"7919","0","3","Operation/Personnel Violations"
"8282","0","2","Operation/Personnel Violations"
"8336","0","3","Operation/Personnel Violations"
"8453","0","12","Operation/Personnel Violations"
"9061","0","3","Operation/Personnel Violations"
"10146","0","25","Use Of Force"
"10540","0","5","Illegal Search"
"10671","0","1","Operation/Personnel Violations"
"10798","0","15","Traffic"
"11209","0","21","Lockup Procedures"
"11349","0","17","Operation/Personnel Violations"
"11518","0","1","Conduct Unbecoming (Off-Duty)"
"12812","0","1","Criminal Misconduct"
"12825","1","49","Illegal Search"
"12825","1","49","Illegal Search"
"12915","0","13","Illegal Search"
"13412","0","6","Operation/Personnel Violations"
"13976","0","10","Illegal Search"
"14179","0","37","Use Of Force"
"14726","0","7","Operation/Personnel Violations"
"15065","0","11","Operation/Personnel Violations"
"15220","0","5","False Arrest"
"15937","0","3","Criminal Misconduct"
"15981","0","2","Operation/Personnel Violations"
"16043","0","21","Operation/Personnel Violations"
"16394","0","1","Drug / Alcohol Abuse"
"16871","0","14","Illegal Search"
"17037","0","48","Use Of Force"
"17199","0","1","Conduct Unbecoming (Off-Duty)"
"17870","0","3","Illegal Search"
"18014","0","1","Criminal Misconduct"
"18336","0","15","Illegal Search"
"18581","0","5","Operation/Personnel Violations"
"19165","0","3","Operation/Personnel Violations"
"19837","0","1","Criminal Misconduct"
"20503","0","4","Lockup Procedures"
"20707","0","3","Conduct Unbecoming (Off-Duty)"
"20719","0","20","Operation/Personnel Violations"
"21009","0","22","Verbal Abuse"
"21031","0","2","Operation/Personnel Violations"
"21200","0","9","Traffic"
"21215","0","8","Operation/Personnel Violations"
"21436","0","10","Use Of Force"
"21500","0","1","Operation/Personnel Violations"
"21515","0","6","Illegal Search"
"21530","0","56","Operation/Personnel Violations"
"21891","0","15","Operation/Personnel Violations"
"22425","0","2","Conduct Unbecoming (Off-Duty)"
"22437","0","1","First Amendment"
"23099","0","4","Operation/Personnel Violations"
"23180","0","6","Use Of Force"
"23483","0","1","Lockup Procedures"
"23982","0","8","Operation/Personnel Violations"
"24385","0","5","Excessive Force"
"24472","0","1","Illegal Search"
"24657","0","6","Operation/Personnel Violations"
"24695","0","23","Use Of Force"
"25228","0","10","Supervisory Responsibilities"
"25236","0","8","Use Of Force"
"25400","0","3","Conduct Unbecoming (Off-Duty)"
"25612","0","8","Operation/Personnel Violations"
"25977","0","6","Operation/Personnel Violations"
"26147","0","12","Operation/Personnel Violations"
"26278","0","17","Operation/Personnel Violations"
"26723","0","2","Operation/Personnel Violations"
"26828","1","23","Use Of Force"
"27359","0","4","Operation/Personnel Violations"
"27503","0","22","Use Of Force"
"28172","0","7","Operation/Personnel Violations"
"28325","0","1","Use Of Force"
"28430","0","17","Use Of Force"
"28486","0","7","Operation/Personnel Violations"
"28843","0","11","Operation/Personnel Violations"
"28920","0","5","Operation/Personnel Violations"
"28930","0","1","Supervisory Responsibilities"
"28991","0","3","Conduct Unbecoming (Off-Duty)"
"29027","0","9","Operation/Personnel Violations"
"29481","0","9","Operation/Personnel Violations"
"29568","0","13","Operation/Personnel Violations"
"29639","0","7","Lockup Procedures"
"30313","0","40","Traffic"
"30597","0","3","Use Of Force"
"31350","0","1","Lockup Procedures"
"31844","1","50","Illegal Search"
"31885","1","9","Illegal Search"
"31992","0","9","False Arrest"
"32111","0","21","Operation/Personnel Violations"
"32190","1","22","Use Of Force"
"32422","0","18","Illegal Search"
"600","0","1","Drug / Alcohol Abuse"
"638","0","7","Operation/Personnel Violations"
"876","0","5","False Arrest"
"961","0","10","Operation/Personnel Violations"
"1210","0","15","Lockup Procedures"
"1302","0","1","Operation/Personnel Violations"
"1756","1","9","Operation/Personnel Violations"
"1789","0","10","Operation/Personnel Violations"
"2119","1","32","Illegal Search"
"2149","0","13","Operation/Personnel Violations"
"2723","0","2","Illegal Search"
"3201","0","7","Operation/Personnel Violations"
"3791","0","30","Use Of Force"
"3849","0","10","Use Of Force"
"4159","0","5","Operation/Personnel Violations"
"4361","0","6","Use Of Force"
"5334","0","9","Operation/Personnel Violations"
"5585","0","8","Operation/Personnel Violations"
"5652","1","11","Use Of Force"
"5809","0","17","Use Of Force"
"5866","0","11","Operation/Personnel Violations"
"5905","0","7","Operation/Personnel Violations"
"6228","0","8","Operation/Personnel Violations"
"6627","0","2","Operation/Personnel Violations"
"6887","0","1","Operation/Personnel Violations"
"7159","0","1","Illegal Search"
"7833","0","1","Verbal Abuse"
"8034","0","4","False Arrest"
"8630","0","2","Criminal Misconduct"
"9110","0","2","Supervisory Responsibilities"
"9112","0","7","Operation/Personnel Violations"
"9899","1","9","Illegal Search"
"10059","0","9","Operation/Personnel Violations"
"10108","0","9","Operation/Personnel Violations"
"10239","0","69","Use Of Force"
"10948","0","10","Operation/Personnel Violations"
"11461","0","9","Operation/Personnel Violations"
"12634","0","29","Operation/Personnel Violations"
"12712","0","16","Operation/Personnel Violations"
"13125","0","13","Use Of Force"
"13598","0","36","Illegal Search"
"13627","0","5","Illegal Search"
"13632","0","20","Operation/Personnel Violations"
"13852","0","43","Use Of Force"
"14878","0","11","Lockup Procedures"
"14935","0","2","Operation/Personnel Violations"
"15313","0","2","Operation/Personnel Violations"
"15594","0","6","Use Of Force"
"16096","0","3","Lockup Procedures"
"16097","0","4","Criminal Misconduct"
"16160","0","3","Lockup Procedures"
"16197","1","24","Use Of Force"
"16349","0","25","Operation/Personnel Violations"
"16737","0","4","Criminal Misconduct"
"16902","0","8","Illegal Search"
"17921","0","9","Operation/Personnel Violations"
"18032","0","1","Conduct Unbecoming (Off-Duty)"
"18527","1","13","Operation/Personnel Violations"
"19091","0","11","Use Of Force"
"19356","0","8","Use Of Force"
"19856","0","11","Operation/Personnel Violations"
"20123","0","12","Operation/Personnel Violations"
"20130","0","18","Use Of Force"
"20388","0","21","Operation/Personnel Violations"
"20422","0","19","Use Of Force"
"20954","0","22","Operation/Personnel Violations"
"21135","0","11","Lockup Procedures"
"21637","0","7","Operation/Personnel Violations"
"21888","0","2","Operation/Personnel Violations"
"22024","0","5","Operation/Personnel Violations"
"22112","0","2","Operation/Personnel Violations"
"22520","0","10","Illegal Search"
"22527","0","20","Illegal Search"
"22593","0","12","Operation/Personnel Violations"
"22677","0","6","Illegal Search"
"22747","0","1","Lockup Procedures"
"22898","0","29","Operation/Personnel Violations"
"23026","0","15","Domestic"
"23477","0","10","Traffic"
"23885","0","6","Illegal Search"
"23943","0","2","Operation/Personnel Violations"
"24226","0","2","Criminal Misconduct"
"24238","0","6","Operation/Personnel Violations"
"24530","0","4","Operation/Personnel Violations"
"24637","0","1","Lockup Procedures"
"24876","0","1","Operation/Personnel Violations"
"25474","0","1","Use Of Force"
"25511","0","3","Conduct Unbecoming (Off-Duty)"
"26022","0","39","Use Of Force"
"26117","0","5","Operation/Personnel Violations"
"26135","0","4","Operation/Personnel Violations"
"26217","0","12","Lockup Procedures"
"26633","0","9","Use Of Force"
"26740","0","10","Lockup Procedures"
"26856","0","42","Operation/Personnel Violations"
"27367","0","4","Use Of Force"
"27908","0","5","Operation/Personnel Violations"
"27955","0","5","Use Of Force"
"28371","0","2","Criminal Misconduct"
"28699","0","8","Operation/Personnel Violations"
"29192","0","5","Operation/Personnel Violations"
"29773","0","4","Operation/Personnel Violations"
"29776","0","23","Operation/Personnel Violations"
"29946","0","4","Conduct Unbecoming (Off-Duty)"
"30103","0","12","Operation/Personnel Violations"
"30165","0","19","Operation/Personnel Violations"
"30384","0","1","Use Of Force"
"30437","0","1","Operation/Personnel Violations"
"31135","0","12","Illegal Search"
"31486","0","4","Illegal Search"
"31495","0","3","Criminal Misconduct"
"31579","0","10","Use Of Force"
"31872","0","47","Illegal Search"
"31996","0","12","Use Of Force"
"32080","0","4","Illegal Search"
"229","0","17","Operation/Personnel Violations"
"650","1","90","Use Of Force"
"1343","0","1","Drug / Alcohol Abuse"
"1376","0","16","Operation/Personnel Violations"
"1485","0","2","Illegal Search"
"1559","0","14","Lockup Procedures"
"1606","0","10","Use Of Force"
"1930","0","3","Domestic"
"1969","0","2","Operation/Personnel Violations"
"2153","0","27","Illegal Search"
"2590","0","1","Criminal Misconduct"
"2593","0","1","Criminal Misconduct"
"3671","0","1","Bribery / Official Corruption"
"3737","0","9","Illegal Search"
"3742","0","10","Operation/Personnel Violations"
"3802","0","14","Use Of Force"
"3824","0","25","Illegal Search"
"4479","0","1","Use Of Force"
"4951","0","1","False Arrest"
"5051","0","4","Operation/Personnel Violations"
"5087","0","4","Operation/Personnel Violations"
"5180","0","9","Operation/Personnel Violations"
"5360","1","46","Illegal Search"
"5360","1","46","Illegal Search"
"5577","0","20","Use Of Force"
"6797","0","46","Operation/Personnel Violations"
"6915","0","13","Lockup Procedures"
"7524","1","14","Operation/Personnel Violations"
"7674","0","5","Operation/Personnel Violations"
"8141","0","16","Operation/Personnel Violations"
"8144","0","5","Operation/Personnel Violations"
"8156","0","19","Operation/Personnel Violations"
"8456","0","3","Operation/Personnel Violations"
"8762","0","27","Operation/Personnel Violations"
"8792","0","13","Operation/Personnel Violations"
"8888","0","6","Use Of Force"
"9108","0","6","Operation/Personnel Violations"
"9132","0","7","Operation/Personnel Violations"
"9192","0","1","Conduct Unbecoming (Off-Duty)"
"9596","1","36","Use Of Force"
"9745","0","2","Operation/Personnel Violations"
"10103","1","23","Use Of Force"
"10103","1","23","Use Of Force"
"10327","0","3","Lockup Procedures"
"10654","0","9","False Arrest"
"11721","0","5","Operation/Personnel Violations"
"11840","0","3","Operation/Personnel Violations"
"12102","1","26","Illegal Search"
"12185","0","3","Operation/Personnel Violations"
"12335","0","17","Use Of Force"
"12741","0","13","Use Of Force"
"13160","1","3","Lockup Procedures"
"13252","0","2","False Arrest"
"14293","0","6","Use Of Force"
"14684","0","33","Use Of Force"
"14907","0","3","Domestic"
"15007","0","7","Use Of Force"
"15277","0","1","Operation/Personnel Violations"
"15545","0","31","Illegal Search"
"16010","0","4","Operation/Personnel Violations"
"16015","0","4","Operation/Personnel Violations"
"16256","0","7","Illegal Search"
"16295","0","5","Use Of Force"
"16407","0","2","Use Of Force"
"16471","0","6","Domestic"
"17335","0","16","Illegal Search"
"17486","0","10","Operation/Personnel Violations"
"18453","0","66","Use Of Force"
"18626","0","12","Illegal Search"
"18697","0","25","Use Of Force"
"19198","0","8","Operation/Personnel Violations"
"19382","0","15","Operation/Personnel Violations"
"19477","0","61","Operation/Personnel Violations"
"19934","0","60","Use Of Force"
"19985","0","12","Illegal Search"
"20103","0","1","Use Of Force"
"20855","0","9","Use Of Force"
"21490","0","1","Operation/Personnel Violations"
"23088","0","9","Operation/Personnel Violations"
"23244","0","27","Illegal Search"
"23365","0","3","Criminal Misconduct"
"23787","0","6","Operation/Personnel Violations"
"24115","0","2","False Arrest"
"24138","0","8","Operation/Personnel Violations"
"24816","0","5","Operation/Personnel Violations"
"24981","1","11","Operation/Personnel Violations"
"25340","0","1","Drug / Alcohol Abuse"
"25623","0","10","Operation/Personnel Violations"
"26301","0","15","Operation/Personnel Violations"
"26524","0","6","Operation/Personnel Violations"
"26844","0","14","Operation/Personnel Violations"
"26859","0","9","Lockup Procedures"
"27333","0","1","Operation/Personnel Violations"
"27477","0","2","Operation/Personnel Violations"
"27589","0","2","Criminal Misconduct"
"27625","0","6","Operation/Personnel Violations"
"27979","0","28","Use Of Force"
